job;salary;id;city;year;age
IT-специалист;120344;9510271;Махадаонда;2021;49
Бухгалтер;120422;1045781;Подгорица;2004;29
Оператор call-центра;108910;5384702;Скопье;2006;27
Водитель;67161;1883545;Луго;2013;53
Программист;92302;9928002;Эльче;2017;58
Психолог;75245;2222901;Афины;2014;47
Водитель;43608;8588751;Гранада;2006;63
Водитель;87359;1977771;Кордова;2000;18
Менеджер;153352;6992977;Варшава;2017;47
Продавец;117681;9600877;Куэнка;2011;32
Менеджер;137160;1161296;Тудела;2012;53
Бухгалтер;156674;7664309;Валенсия;2007;29
Продавец;63855;8292623;Сория;2004;31
Инженер;97461;1772901;Аликанте;2005;25
Медсестра;72999;8361945;Аликанте;2017;28
Продавец;135313;9278853;Санхенхо;2012;20
Косметолог;86169;7850358;Мерида;2022;18
Строитель;114898;8933013;Кишинев;2004;32
Учитель;114017;5404230;Белград;2003;31
Программист;149076;7488354;Бишкек;2018;19
Продавец;85966;3467103;Ташкент;2002;54
IT-специалист;133650;7264533;Гранада;2000;44
IT-специалист;99826;8152698;Подгорица;1999;57
Программист;42600;4472148;Баку;1999;63
Повар;150875;6046955;Рига;2010;34
Медсестра;196387;4801217;Бильбао;2004;39
Менеджер;61371;8561917;Трухильо;1999;36
Повар;35352;5187151;Минск;2007;21
Повар;85079;6169522;Мерида;2005;34
Бухгалтер;178136;8404286;Овьедо;2005;27
Повар;127531;3507526;Тарраса;2001;48
Психолог;40302;9095022;Подгорица;2005;32
Врач;36777;6703568;Эль-Пуэрто-де-Санта-Мария;2003;43
Архитектор;177288;9165972;Алма-Ата;2005;42
Врач;101752;6055557;Минск;2010;58
Оператор call-центра;184671;5919396;Аликанте;2020;20
Врач;152394;9906127;Барселона;2003;56
Водитель;64907;8760238;Кордова;2005;42
Косметолог;64146;1069251;София;2008;33
Врач;85995;6693495;Бланес;2012;21
IT-специалист;195805;8402682;Алькала-де-Энарес;2002;32
Врач;35992;8416794;Малага;2012;43
Оператор call-центра;154080;7314976;Ташкент;2009;58
Психолог;161144;4110567;Бишкек;2009;64
Врач;154755;3468828;Навалькарнеро;2010;31
Косметолог;108021;5477358;Эльче;2002;63
Врач;171575;1227312;Скопье;2016;30
Косметолог;39885;4769201;Хельсинки;2006;25
Продавец;188519;7614642;Аликанте;2012;49
Оператор call-центра;189546;4736194;Скопье;2008;31
Инженер;74226;6929365;Виго;2020;44
Продавец;52478;1082174;Сеговия;2019;54
Врач;42871;1198620;Навалькарнеро;2019;33
IT-специалист;157659;5705508;Луго;2006;31
Водитель;48627;9416104;Камбадос;2020;34
Водитель;162220;7293778;Эль-Пуэрто-де-Санта-Мария;2012;21
Водитель;193774;1014520;Вроцлав;2017;57
Повар;164897;9962218;Аликанте;2004;53
Программист;61315;1853855;Виго;2013;37
IT-специалист;146542;6740477;Бургос;2017;58
Повар;116196;8056390;Аликанте;1999;52
IT-специалист;53934;6158070;Аликанте;2009;47
Бухгалтер;87818;4526219;Эль-Пуэрто-де-Санта-Мария;2007;56
Водитель;106020;8865828;Прага;2000;63
Менеджер;97493;1652379;Льейда;2002;55
Строитель;195692;9514845;Трухильо;2020;47
Строитель;53281;1128268;Монсон;2006;61
Психолог;169760;4137471;Краков;2016;29
Медсестра;155266;4466886;Валенсия;2008;55
Косметолог;156112;9074721;Ереван;2012;50
Косметолог;188520;4180067;Эльче;2008;36
Оператор call-центра;115222;1392862;Сьюдад-Реаль;2009;51
Архитектор;123959;8194892;Алькала-де-Энарес;2010;46
Архитектор;120520;6268308;Скопье;2019;56
Косметолог;127020;1702942;Мурсия;2011;32
Косметолог;66696;7511099;Льейда;2003;34
Бухгалтер;80217;4405367;Куэнка;2015;63
Водитель;122822;8539502;Скопье;2021;43
Косметолог;31050;7107758;Семана;2000;35
Оператор call-центра;160529;7172000;Мартоса;2014;38
Повар;132329;5941104;Навалькарнеро;2007;57
Водитель;130351;8528108;Хельсинки;2011;63
Косметолог;144414;8269009;Луго;2020;47
Архитектор;71172;5129694;Навалькарнеро;2009;25
Косметолог;175674;4889357;Сантьяго-де-Компостела;2012;60
Программист;174519;4732547;Астана;2012;55
Продавец;176503;4040683;Минск;2009;40
Менеджер;37580;7337348;Сараево;1999;26
Менеджер;145776;1381132;Алма-Ата;2014;47
Программист;168973;4819966;Монсон;2010;29
Врач;57395;8592485;Монсон;2020;63
Психолог;44869;1306164;Трухильо;2016;37
Водитель;96140;3915266;Вильнюс;2011;23
Повар;122604;1623678;Бланес;2008;43
Инженер;161401;8479648;Вроцлав;2006;49
Архитектор;143732;3753481;Семана;2004;36
Медсестра;179136;1032908;Бургос;2017;39
Продавец;175310;1898957;Будапешт;2015;30
Архитектор;143075;5035305;Мадрид;2010;62
Врач;155814;5020031;Алькала-де-Энарес;2001;39
Косметолог;80518;8290042;Касерес;2014;65
Медсестра;134208;5900719;Куэнка;2000;45
Косметолог;72773;2251303;Осера;2021;24
Водитель;155656;5440091;Сан-Себастьян;2013;36
Психолог;70663;5930256;Вальядолид;2012;59
Повар;60750;6652719;Мадрид;1999;51
Учитель;139311;5244472;Картахена;2005;62
Продавец;111925;7113444;Москва;2012;54
Косметолог;99328;4367744;Аликанте;2016;25
Бухгалтер;150237;4531251;Астана;2017;61
Архитектор;42139;7224554;Мурсия;2022;43
Косметолог;71293;5959524;Душанбе;2005;64
Инженер;128331;8287533;Хихон;2021;36
Строитель;57343;8627759;Ташкент;1999;47
Менеджер;180959;6768735;Монсон;2010;39
Программист;193728;9106050;Мадрид;2019;44
IT-специалист;137886;1648745;Астана;2016;52
Учитель;134021;3639377;Сантьяго-де-Компостела;2003;23
Повар;89582;7882858;Кадакес;2005;47
Психолог;46572;7715485;Афины;2005;57
Продавец;39205;1647368;Сеговия;2020;23
Менеджер;94918;2217796;Бланес;2016;38
Инженер;149422;5605512;Тарраса;2003;31
Психолог;101186;4647732;Малага;2011;32
Программист;153547;4923084;Санкт-Петербург;2002;50
Менеджер;145952;2131063;Самора;2012;49
Строитель;116262;4970479;Сеговия;2010;30
Медсестра;134743;4107320;Куэнка;2020;28
Инженер;153840;2389799;Скопье;2002;28
Архитектор;36578;6325728;Баку;2002;33
Менеджер;98165;6401678;Лас-Росас;2004;22
Учитель;100096;7970937;Сан-Себастьян;2003;53
Менеджер;41834;3284119;Вроцлав;2016;58
Повар;41759;5205996;Севилья;2020;60
Врач;62846;9258367;Осера;2018;22
Бухгалтер;121608;5476786;Артейхо;2004;27
Бухгалтер;117920;4489004;Эль-Пуэрто-де-Санта-Мария;2012;24
Учитель;116905;6950002;Сеговия;1999;48
Архитектор;83636;5660465;Семана;2005;55
Повар;194672;3762826;Варшава;2008;55
Водитель;133390;1592102;Сория;2015;38
Психолог;60529;5292468;Фигерас;2000;48
Программист;54403;1293856;Тудела;2010;44
Оператор call-центра;120430;7041039;Мартоса;2019;64
Учитель;149400;5149512;Астана;2017;32
Продавец;89378;6790179;Тудела;1999;64
Архитектор;55191;3791259;Осера;2005;38
Бухгалтер;71632;6284381;Подгорица;2007;50
Менеджер;69471;9376344;Бишкек;2021;63
Психолог;124684;3140348;Краков;1999;41
IT-специалист;83678;5489563;Махадаонда;2021;65
Архитектор;62271;2283093;Любляна;2004;27
Инженер;24639;5561137;Вильнюс;2002;59
Медсестра;157752;7576220;Тирана;2003;44
Врач;158291;4700780;Любляна;2009;41
Менеджер;119343;7339127;Кордова;2005;22
Психолог;172507;8593369;Кадакес;2009;20
Врач;30873;6463741;Варшава;2000;36
Врач;131816;8366175;Бильбао;2003;50
Учитель;75914;6862046;Сеговия;2013;24
Психолог;144935;9400258;Фигерас;2022;60
Врач;49885;9449276;Хихон;2006;40
Косметолог;135588;8276292;Бильбао;2012;32
Повар;198274;1959138;Кордова;2013;61
Инженер;26787;8562027;Сан-Себастьян;2012;57
Учитель;30852;8685235;Сория;2002;25
Косметолог;32371;5559220;Пласенсия;2010;40
Водитель;127404;3219295;Баку;1999;48
Бухгалтер;193733;9740347;Мадрид;2019;25
Бухгалтер;151510;6732206;Хельсинки;2010;42
Повар;87125;1375299;Афины;2007;22
Менеджер;38191;9529992;Мурсия;2004;47
Косметолог;135697;1311777;Санкт-Петербург;2001;65
Менеджер;168684;7157325;Виго;2007;49
Психолог;103779;1773088;Виго;2004;44
Инженер;63472;5916673;Касерес;2009;65
Психолог;30062;6760358;Санкт-Петербург;2010;40
Учитель;73206;7030225;Баку;2018;46
Инженер;145437;4844450;Бильбао;2016;21
Продавец;38585;1971190;Загреб;2010;58
Инженер;132917;4026032;Кордова;2011;39
Медсестра;147568;7418813;Прага;2011;59
Менеджер;82922;1180989;Тирана;2010;33
Менеджер;153233;3785073;Лас-Росас;2010;43
Программист;21844;4021826;Загреб;2002;22
Водитель;179264;7858277;Хихон;2022;35
Учитель;130929;3705705;Осера;2005;31
Косметолог;61014;9279767;Махадаонда;2003;26
Бухгалтер;197982;4481929;Малага;2013;43
Водитель;181593;3183864;Хельсинки;2007;36
Водитель;149566;7009859;Бишкек;2002;51
Медсестра;96895;7464997;Вильявисиоса;2011;45
Психолог;178494;5746684;Виго;2021;48
Учитель;149654;9305160;Сьюдад-Реаль;2005;25
Психолог;130041;4895106;Таллин;2021;45
Программист;156297;5897980;Краков;2012;43
Менеджер;32477;1945071;Лас-Росас;2010;41
IT-специалист;30721;3723314;Афины;2017;22
Повар;106811;5908666;Аликанте;2000;43
Врач;149940;7624969;Лас-Росас;1999;50
Менеджер;188877;5185559;Бишкек;2014;59
Медсестра;130175;7353123;Мартоса;2015;63
Водитель;76527;8734113;Алькала-де-Энарес;1999;44
Косметолог;57767;1472402;Загреб;1999;30
Бухгалтер;184676;8294336;Самора;2018;24
Инженер;54009;9140510;Льейда;2016;53
Архитектор;74026;4474684;Камбадос;2000;30
Водитель;118417;7600912;Загреб;2001;20
Повар;76248;6778046;Севилья;2018;53
Медсестра;59693;6587057;Куэнка;2010;59
Архитектор;59838;6427403;Касерес;2008;35
IT-специалист;104331;8537632;Тудела;2010;18
Продавец;170079;3207999;Москва;2006;24
Оператор call-центра;129514;2140813;Семана;2001;51
Психолог;151981;9896335;Бланес;2005;61
Архитектор;138678;5277472;Бильбао;2013;18
Учитель;139559;8371835;Скопье;2006;34
Психолог;106652;9684370;Вальядолид;2009;19
Косметолог;154984;6980721;Овьедо;2008;45
Водитель;48479;6991062;Бургос;2007;18
Водитель;68808;5790646;Сеговия;2009;23
Врач;159422;6205862;Махадаонда;2011;22
Водитель;151509;3151643;Луго;2008;26
Повар;119905;1914823;Бильбао;2017;35
Оператор call-центра;27006;2697132;Барселона;2011;42
Архитектор;48871;6953663;Эль-Пуэрто-де-Санта-Мария;2008;38
Психолог;114559;1869527;Санхенхо;2018;18
Менеджер;198855;9586909;Алма-Ата;2003;31
IT-специалист;172637;1327534;Мадрид;2003;26
Менеджер;23577;1115733;Сьюдад-Реаль;2014;31
Архитектор;160409;7810506;Сория;2015;51
Учитель;32288;8363596;Алькала-де-Энарес;2017;50
Оператор call-центра;125489;6776051;Афины;2009;62
Учитель;158602;9434119;Самора;2015;37
IT-специалист;109584;9009052;Луго;2011;29
Врач;141431;4387444;Малага;2010;38
Водитель;138497;7404280;Краков;2020;59
Оператор call-центра;183833;6037470;Пласенсия;2018;27
Врач;97950;3710664;Сантьяго-де-Компостела;2003;28
Психолог;25912;9205736;Сория;2022;39
Оператор call-центра;109834;4293413;Касерес;2018;55
Врач;155790;1215777;Гранада;2010;42
Архитектор;153621;1010048;Трухильо;2005;44
Инженер;107523;6087896;Хихон;2016;45
Строитель;153008;1775430;Ташкент;2007;47
Медсестра;195621;9001432;Сан-Себастьян;2019;27
Медсестра;77729;2587389;Хельсинки;2007;59
Менеджер;109623;6979449;Сория;2009;47
Архитектор;153148;8686906;Мадрид;2004;46
Психолог;162856;8702588;Вильявисиоса;2003;30
Психолог;80402;5754864;Астана;2002;59
Менеджер;66734;3917644;Семана;2022;47
Инженер;99613;1840680;Тирана;2013;27
Косметолог;91590;3309587;Луарка;1999;37
Строитель;21215;4740261;Тбилиси;2004;19
Программист;183067;8071404;Хихон;2006;48
Косметолог;80206;6544034;Рига;2019;37
Психолог;33416;8909231;Белград;2013;58
Повар;59076;9191040;Семана;2014;39
Программист;84065;4740238;София;2002;25
Врач;148759;4677346;Любляна;2012;29
Повар;88541;6173333;Любляна;2001;63
Врач;79044;8420837;Белград;2007;65
Врач;125774;9710204;Кадакес;2014;40
Повар;106387;5730898;Севилья;2019;38
Менеджер;174464;5059030;Хихон;2011;44
Продавец;56769;9717390;Трухильо;2022;33
Оператор call-центра;197021;1355136;София;2020;61
Оператор call-центра;188276;9721215;Аликанте;2012;30
Инженер;95986;5157751;Кордова;2017;18
Учитель;89855;4937918;Афины;2019;59
Оператор call-центра;42799;4479382;Осера;2021;41
IT-специалист;124953;4631921;Сантьяго-де-Компостела;2008;63
IT-специалист;197022;5037399;София;2003;32
Продавец;123244;9184041;Кишинев;1999;37
Строитель;165846;7232595;Москва;1999;61
Продавец;126358;2109817;Луарка;2014;38
Строитель;168488;2951819;Льейда;1999;65
Архитектор;138440;2687252;Загреб;2015;50
Водитель;167844;8885114;Подгорица;2013;50
Продавец;160300;8551834;Пласенсия;2012;41
Архитектор;160530;1341399;Монсон;2020;61
Психолог;174035;9823862;Краков;2000;36
Врач;154876;8733815;Вальядолид;2015;27
Программист;84552;5959664;Хихон;2007;29
Повар;42951;6922121;Ла-Корунья;2013;34
Врач;91672;5117354;Сан-Себастьян;2017;49
Архитектор;30972;3826238;Будапешт;2022;59
Медсестра;70468;3978680;Прага;2000;37
Программист;37690;4688309;Лас-Росас;2018;43
Повар;64077;1594896;Краков;2002;48
Бухгалтер;171544;3716940;Бильбао;1999;55
Продавец;24337;8808251;Фигерас;2000;20
Продавец;92110;8710161;Вильнюс;2018;23
Водитель;128120;3332581;Мерида;2015;55
Оператор call-центра;107924;5656700;Санкт-Петербург;2009;40
Косметолог;181925;2937815;Ташкент;2004;49
Продавец;102976;4075038;Авилес;2006;64
Оператор call-центра;102799;6519183;Фигерас;2019;25
Медсестра;62867;8268779;Сантьяго-де-Компостела;2015;56
Оператор call-центра;79924;1061515;Гранада;2022;58
Водитель;177911;2503504;Тарраса;2006;38
Врач;73460;4643621;Хихон;2019;49
Инженер;168159;8303373;Эль-Пуэрто-де-Санта-Мария;2022;38
Психолог;194364;2551067;Краков;2016;52
Врач;119284;9115660;Эль-Пуэрто-де-Санта-Мария;2011;23
Психолог;46942;4215235;Алма-Ата;2022;58
Медсестра;65623;5176388;Подгорица;2015;50
Строитель;187679;5892442;Сеговия;2014;29
Инженер;74903;9366635;Тбилиси;2018;25
Врач;166063;1991070;Подгорица;2022;32
Учитель;33659;9944412;Сараево;2000;60
IT-специалист;54966;8958757;Ла-Корунья;2017;26
Продавец;199854;5438900;Таллин;2015;34
Программист;23556;6090645;Тарраса;2022;57
Медсестра;171665;8299354;Бишкек;2003;59
Менеджер;103720;5292212;Монсон;2020;46
IT-специалист;97854;1717663;Вильявисиоса;2011;18
Менеджер;57414;5915668;Хихон;2006;18
Менеджер;69885;9703254;Кадакес;2013;46
Строитель;138984;5711980;Трухильо;2010;51
Оператор call-центра;108659;4874657;Санхенхо;2015;32
Программист;49080;7860826;Виго;2015;42
Продавец;27842;9165686;Самора;2000;60
Бухгалтер;172057;9740742;Мадрид;2013;19
Программист;90406;7658150;Подгорица;2019;48
Медсестра;68036;9476286;Москва;2017;32
Архитектор;170873;9763817;Семана;2000;55
Менеджер;166265;3233702;Москва;2013;34
Строитель;149498;4260742;Баку;2021;50
Оператор call-центра;22054;7298239;Хельсинки;2006;50
Архитектор;94711;7060303;Куэнка;2002;42
Инженер;196505;8644393;Луарка;2013;57
Повар;71342;7841210;Барселона;2003;30
Архитектор;77598;5801161;Душанбе;1999;51
Архитектор;76722;5292699;Санкт-Петербург;2004;48
Психолог;158091;3530796;Кордова;1999;56
Косметолог;60075;3222713;Кадакес;2013;20
Программист;54055;1807972;Сан-Себастьян;2017;44
Продавец;107584;9538588;Баку;2015;21
Повар;69220;4244799;Ереван;2018;61
Психолог;36021;4579513;Сьюдад-Реаль;2003;32
Архитектор;42805;7406696;Тарраса;2010;31
IT-специалист;115680;4119684;Эльче;2009;23
IT-специалист;131746;7649058;Афины;2018;25
Водитель;46432;5177751;Навалькарнеро;2009;36
Продавец;161047;4415511;Будапешт;2010;59
Строитель;39085;6128178;Гранада;2001;38
Программист;143080;9453158;Камбадос;1999;54
Строитель;188944;3427956;Камбадос;2011;47
Врач;71814;7845188;Скопье;2022;31
Повар;74448;2021828;Мартоса;2000;27
Менеджер;119681;2892104;Тудела;2000;51
Повар;98048;2531663;Любляна;2013;22
Повар;106518;7917947;Санхенхо;2003;27
Архитектор;112601;6680818;Вильнюс;2003;40
Инженер;116162;1494024;Мурсия;2022;52
Менеджер;178466;2164284;Самора;2017;22
Менеджер;175221;9056215;Афины;2019;42
Оператор call-центра;83391;9865888;Луарка;2019;64
Программист;181631;4367330;Баку;2001;35
Учитель;27476;2116883;Авилес;2006;22
Строитель;28433;7451574;Сеговия;2010;20
Программист;71361;2088141;Ташкент;2010;23
Психолог;140156;2218202;Таллин;2001;53
Бухгалтер;190215;6921214;Монсон;2008;36
Учитель;175176;7889700;Хельсинки;2009;31
Медсестра;147498;7897646;Виго;2007;54
Программист;87766;3306676;Ереван;2020;64
Продавец;26523;1059498;Мадрид;1999;62
Инженер;83807;9165306;Мартоса;2022;26
IT-специалист;151841;7455467;Хихон;2005;49
Архитектор;102363;7988878;Валенсия;2006;51
Медсестра;123079;3133432;Пласенсия;2010;51
Строитель;88483;5244802;Тирана;2017;33
Бухгалтер;74552;2991342;Мерида;2004;54
Инженер;166175;2243764;Эль-Пуэрто-де-Санта-Мария;2008;27
Медсестра;190585;4930492;Луарка;2000;53
Водитель;83455;5325973;Хихон;2012;23
Бухгалтер;186779;2087695;Бильбао;1999;59
Косметолог;105148;4419496;Махадаонда;2010;45
Водитель;155090;9805440;Бильбао;2016;34
Инженер;104607;6088954;Эльче;2009;56
Оператор call-центра;96460;8417522;Тудела;2001;52
Психолог;127812;5615169;Севилья;2008;38
Косметолог;70934;3123040;Малага;2005;55
Инженер;173515;3055090;Кишинев;2018;35
Менеджер;33043;5542566;Махадаонда;2006;30
Психолог;138748;5013322;Мадрид;2011;55
Менеджер;123221;4300328;Пласенсия;2016;19
Повар;42529;8297181;Душанбе;2000;31
Учитель;83394;9620881;Баку;2007;48
Менеджер;99817;3961823;Вильявисиоса;2012;47
Учитель;65709;9095812;Льейда;2003;40
IT-специалист;185035;2487684;Навалькарнеро;2022;48
Инженер;128193;5383200;Ла-Корунья;2021;49
Психолог;40912;2251831;Сараево;2021;30
Повар;44129;7411338;Малага;2011;43
Медсестра;76092;7742625;Трухильо;1999;34
IT-специалист;176995;8780571;Санкт-Петербург;2001;28
Программист;109997;3400235;Минск;2015;39
Оператор call-центра;157866;8378614;Вальядолид;2009;26
Бухгалтер;111892;2754195;Малага;2012;64
IT-специалист;134779;7702162;Малага;2007;62
Продавец;42129;8546534;Сан-Себастьян;2007;54
Повар;141988;6289602;Барселона;2019;43
Бухгалтер;22327;1764102;Сория;1999;58
Программист;86654;8579314;Навалькарнеро;2012;32
Учитель;79290;4790406;Санхенхо;2009;38
Инженер;148135;4779571;Варшава;2010;26
Медсестра;104622;1108916;Вильявисиоса;2006;54
Строитель;35946;8329297;Бильбао;2021;44
Строитель;131654;7379678;Валенсия;2017;49
Инженер;166844;9312390;Сараево;2001;38
Инженер;66231;6882749;Фигерас;2022;29
Повар;101402;6138739;Куэнка;2008;46
Медсестра;95756;7066380;Барселона;2019;37
Архитектор;68923;7292157;Вроцлав;2013;59
Инженер;107239;5600899;Мадрид;2006;41
Оператор call-центра;139591;4509778;Сараево;1999;44
Учитель;106177;9886043;Загреб;2011;35
Повар;93831;2048158;Трухильо;2021;44
Водитель;51928;7452328;Овьедо;2003;60
Строитель;110978;8575898;Тирана;2011;65
Инженер;92995;6474730;Белград;2007;57
Врач;21818;9783818;Подгорица;2018;63
Архитектор;81687;8377793;Эль-Пуэрто-де-Санта-Мария;2009;19
Повар;172184;3598925;Монсон;2016;34
Учитель;78999;6856378;Сьюдад-Реаль;2021;51
Архитектор;160647;8315452;Трухильо;2010;49
Медсестра;179125;9634409;Касерес;2005;32
Косметолог;148523;6219324;Трухильо;2002;40
Психолог;139445;4525191;Картахена;2015;22
Программист;177404;7162514;Осера;2001;62
Программист;33891;1783377;Трухильо;2009;30
Оператор call-центра;30938;6200616;Алькала-де-Энарес;2005;38
Оператор call-центра;62949;8545039;Будапешт;2011;55
Менеджер;80341;9105462;Виго;2016;30
Медсестра;151010;1210031;Вильнюс;1999;23
Косметолог;178272;3483710;Авилес;2022;44
Инженер;80723;5732499;Хихон;2022;46
Учитель;181657;8605711;Афины;2000;57
IT-специалист;87125;5461300;Рига;2013;42
IT-специалист;30248;7786308;Пласенсия;2008;25
Водитель;170013;9498806;Ташкент;2003;53
Косметолог;146901;4268962;Сантьяго-де-Компостела;2004;35
Строитель;198519;4869364;Самора;2018;37
IT-специалист;93397;7527231;Астана;2001;53
Косметолог;122593;1856293;Самора;2004;19
Косметолог;174177;7660214;Бильбао;2022;29
Врач;152069;9273910;Астана;2004;49
Оператор call-центра;36487;9351040;Вальядолид;2009;44
Врач;105916;1896377;Мерида;2019;59
Оператор call-центра;166537;7548159;Алма-Ата;2016;54
Психолог;139044;2146191;Фигерас;2020;33
Бухгалтер;109144;3609428;Ташкент;2020;42
Водитель;167784;1712065;Тбилиси;2010;38
Учитель;25510;1294435;Алькала-де-Энарес;2001;24
Учитель;59306;9775380;Артейхо;2015;41
Повар;96899;9435256;Бильбао;2015;43
Врач;181872;7279896;Пласенсия;2020;56
Бухгалтер;114004;9532424;Трухильо;2011;29
Программист;100230;9164999;Самора;2005;59
Врач;61575;6891564;Рига;2002;23
Врач;194866;2927932;Бишкек;2021;50
Учитель;168108;3010708;Астана;2022;48
Бухгалтер;104289;6381244;Мерида;2022;63
Косметолог;157613;9829208;Алма-Ата;2016;59
Менеджер;84283;1215174;Сеговия;2016;58
IT-специалист;40676;1571897;Любляна;2014;47
Водитель;153642;1053611;Загреб;2018;29
IT-специалист;121921;2949360;Тарраса;2009;51
Продавец;33302;2388183;Касерес;2014;51
Оператор call-центра;115741;7237573;Хихон;2007;27
Медсестра;133527;8146061;Сеговия;2002;30
Психолог;132669;1914788;Сьюдад-Реаль;2004;57
Оператор call-центра;89830;1878554;Бургос;2018;51
IT-специалист;49838;7519300;Мартоса;2008;18
Строитель;137241;1813688;Самора;2009;25
Врач;53935;5835038;Вильявисиоса;2012;47
Менеджер;195194;8371994;Овьедо;2020;40
Учитель;32601;7036663;Пласенсия;2016;53
Медсестра;120683;6262405;Скопье;2019;51
Медсестра;182623;9278410;Льейда;2000;64
Водитель;184978;3317470;Таллин;2022;56
Программист;78674;6570258;Луго;2005;28
Менеджер;183157;2926229;Малага;2010;27
Бухгалтер;117013;2271781;Рига;2011;28
Врач;129894;2088817;Таллин;1999;58
Архитектор;145653;1988194;Прага;2011;29
Повар;84809;8778600;Белград;2004;22
Менеджер;141716;4748680;Эль-Пуэрто-де-Санта-Мария;2013;45
Врач;31825;5687812;Мадрид;2011;22
